"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 29 20:02:59 GMT 2024","Sun Sep 29 20:03:00 GMT 2024","382","Admin APIs - QA","Login","","","","Login - Unregistered username","Get Auth Token"
"passed","Sun Sep 29 20:03:07 GMT 2024","Sun Sep 29 20:03:07 GMT 2024","388","Admin APIs - QA","Transactions","customers > {userId} > getpaged > {page} > {pagesize} > {wherecondition}","","","/api/transactions/customers/:userId/getpaged/:page/:pagesize/:wherecondition",""
"passed","Sun Sep 29 20:02:59 GMT 2024","Sun Sep 29 20:02:59 GMT 2024","271","Admin APIs - QA","Login","","","","Login - No grant type","Get Auth Token"
"passed","Sun Sep 29 20:03:13 GMT 2024","Sun Sep 29 20:03:13 GMT 2024","150","Admin APIs - QA","Businesses","Manage business > Business Status (Active/Deactivated)","","","RCBN number required",""
"passed","Sun Sep 29 20:03:06 GMT 2024","Sun Sep 29 20:03:06 GMT 2024","386","Admin APIs - QA","Transactions","businesses > {userId} > querypaged > {page} > {pagesize} > {wherecondition}","","","/api/transactions/businesses/:userId/querypaged/:page/:pagesize/:wherecondition",""
"passed","Sun Sep 29 20:03:08 GMT 2024","Sun Sep 29 20:03:08 GMT 2024","206","Admin APIs - QA","Transactions","all-transaction-types","","","Transaction types",""
"passed","Sun Sep 29 20:02:59 GMT 2024","Sun Sep 29 20:02:59 GMT 2024","206","Admin APIs - QA","Login","","","","Login - Invalid grant type","Get Auth Token"
"passed","Sun Sep 29 20:03:02 GMT 2024","Sun Sep 29 20:03:02 GMT 2024","131","Admin APIs - QA","Referral","Get Referral Details","","","Get Referral Details-W/O Id",""
"passed","Sun Sep 29 20:03:10 GMT 2024","Sun Sep 29 20:03:10 GMT 2024","135","Admin APIs - QA","Transactions","Transaction by transaction reference","","","Get Transaction",""
"passed","Sun Sep 29 20:03:02 GMT 2024","Sun Sep 29 20:03:02 GMT 2024","140","Admin APIs - QA","Referral","Add Rules","","","Add a Rule",""
"passed","Sun Sep 29 20:03:09 GMT 2024","Sun Sep 29 20:03:09 GMT 2024","354","Admin APIs - QA","Transactions","getpaged > {page} > {pagesize} > {wherecondition}","","","/api/transactions/getpaged/:page/:pagesize/:wherecondition",""
"passed","Sun Sep 29 20:03:10 GMT 2024","Sun Sep 29 20:03:10 GMT 2024","82","Admin APIs - QA","Transactions","statement2 > {username}","","","/api/transactions/statement2/:username",""
"passed","Sun Sep 29 20:03:03 GMT 2024","Sun Sep 29 20:03:03 GMT 2024","271","Admin APIs - QA","Referral","Activate/Deactivate Referral","","","Deactivate - Activate/Deactivate Referral",""
"passed","Sun Sep 29 20:03:12 GMT 2024","Sun Sep 29 20:03:12 GMT 2024","135","Admin APIs - QA","Businesses","Manage business > KYB","","","Invalid KYC status",""
"passed","Sun Sep 29 20:03:09 GMT 2024","Sun Sep 29 20:03:09 GMT 2024","155","Admin APIs - QA","Transactions","status","","","/api/transactions/status",""
"passed","Sun Sep 29 20:03:07 GMT 2024","Sun Sep 29 20:03:08 GMT 2024","339","Admin APIs - QA","Transactions","customers > {userId} > querypaged > {page} > {pagesize} > {wherecondition}","","","/api/transactions/customers/:userId/querypaged/:page/:pagesize/:wherecondition",""
"passed","Sun Sep 29 20:03:05 GMT 2024","Sun Sep 29 20:03:06 GMT 2024","167","Admin APIs - QA","Transactions","businesses > {userId} > dashboard","","","Invalid ID",""
"passed","Sun Sep 29 20:03:06 GMT 2024","Sun Sep 29 20:03:06 GMT 2024","454","Admin APIs - QA","Transactions","businesses > {userId} > getpaged > {page} > {pagesize} > {wherecondition}","","","/api/transactions/businesses/:userId/getpaged/:page/:pagesize/:wherecondition",""
"passed","Sun Sep 29 20:03:05 GMT 2024","Sun Sep 29 20:03:05 GMT 2024","85","Admin APIs - QA","Transactions","all > paginate > {page} > {pagesize} > {wherecondition}","","","/api/transactions/all/paginate/:page/:pagesize/:wherecondition",""
"passed","Sun Sep 29 20:03:15 GMT 2024","Sun Sep 29 20:03:15 GMT 2024","129","Admin APIs - QA","Businesses","Manage business > export","","","Export - No authorization",""
"passed","Sun Sep 29 20:03:03 GMT 2024","Sun Sep 29 20:03:05 GMT 2024","1702","Admin APIs - QA","Transactions","dashboard","","","Dashboard",""
"passed","Sun Sep 29 20:03:15 GMT 2024","Sun Sep 29 20:03:15 GMT 2024","373","Admin APIs - QA","Businesses","Manage business > export","","","Export",""
"passed","Sun Sep 29 20:03:09 GMT 2024","Sun Sep 29 20:03:10 GMT 2024","524","Admin APIs - QA","Transactions","statement","","","/api/transactions/statement",""
"passed","Sun Sep 29 20:03:08 GMT 2024","Sun Sep 29 20:03:08 GMT 2024","136","Admin APIs - QA","Transactions","all-transaction-types > transaction-types","","","/api/transactions/transaction-types",""
"passed","Sun Sep 29 20:02:58 GMT 2024","Sun Sep 29 20:02:59 GMT 2024","639","Admin APIs - QA","Login","","","","Login -Successful","Get Auth Token"
"passed","Sun Sep 29 20:03:08 GMT 2024","Sun Sep 29 20:03:09 GMT 2024","141","Admin APIs - QA","Transactions","account","","","/api/transactions/account",""
"passed","Sun Sep 29 20:03:00 GMT 2024","Sun Sep 29 20:03:00 GMT 2024","238","Admin APIs - QA","Login","","","","Login - Blank password","Get Auth Token"
"passed","Sun Sep 29 20:03:05 GMT 2024","Sun Sep 29 20:03:05 GMT 2024","323","Admin APIs - QA","Transactions","all > {page} > {pagesize} > {wherecondition}","","","All transactions",""
"passed","Sun Sep 29 20:03:02 GMT 2024","Sun Sep 29 20:03:03 GMT 2024","136","Admin APIs - QA","Referral","Referral Configuration","","","Get Referral Configuration",""
"passed","Sun Sep 29 20:03:07 GMT 2024","Sun Sep 29 20:03:07 GMT 2024","142","Admin APIs - QA","Transactions","customers > {userId} > dashboard","","","Invalid ID",""
