"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","306","Update Amount","Admin APIs - QA","Thu Jan 02 18:01:06 GMT 2025","passed","Thu Jan 02 18:01:07 GMT 2025","Update Amount","Referral","",""
"","3496","Deactivate - Deactivate/Reactivate User","Admin APIs - QA","Thu Jan 02 18:02:53 GMT 2025","passed","Thu Jan 02 18:02:57 GMT 2025","Manage customer > Customer Status (Active/Deactivated)","Customers","",""
"","149","Get Referral Details-W/O Id","Admin APIs - QA","Thu Jan 02 18:01:06 GMT 2025","passed","Thu Jan 02 18:01:06 GMT 2025","Get Referral Details","Referral","",""
"","152","Get Referral Details By Id","Admin APIs - QA","Thu Jan 02 18:01:06 GMT 2025","passed","Thu Jan 02 18:01:06 GMT 2025","Get Referral Details","Referral","",""
"","90","/api/transactions/all/paginate/:page/:pagesize/:wherecondition","Admin APIs - QA","Thu Jan 02 18:01:38 GMT 2025","passed","Thu Jan 02 18:01:38 GMT 2025","all > paginate > {page} > {pagesize} > {wherecondition}","Transactions","",""
"","60135","View Single Business","Admin APIs - QA","Thu Jan 02 18:01:48 GMT 2025","failed","Thu Jan 02 18:02:49 GMT 2025","Manage business > View a business","Businesses","",""
"","828","/api/business/query/:page/:pagesize/:whereCondition","Admin APIs - QA","Thu Jan 02 18:01:46 GMT 2025","passed","Thu Jan 02 18:01:47 GMT 2025","Manage business > Query Business list","Businesses","",""
"","1058","Export","Admin APIs - QA","Thu Jan 02 18:01:47 GMT 2025","passed","Thu Jan 02 18:01:48 GMT 2025","Manage business > export","Businesses","",""
"","161","/api/transactions/status","Admin APIs - QA","Thu Jan 02 18:01:40 GMT 2025","passed","Thu Jan 02 18:01:40 GMT 2025","status","Transactions","",""
"","4486","Update Business","Admin APIs - QA","Thu Jan 02 18:02:49 GMT 2025","passed","Thu Jan 02 18:02:53 GMT 2025","Manage business > Update a business","Businesses","",""
"","121","/api/transactions/querypaged/:page/:pagesize/:wherecondition","Admin APIs - QA","Thu Jan 02 18:01:40 GMT 2025","passed","Thu Jan 02 18:01:40 GMT 2025","querypaged > {page} > {pagesize} > {wherecondition}","Transactions","",""
"","155","/api/transactions/customers/:userId/querypaged/:page/:pagesize/:wherecondition","Admin APIs - QA","Thu Jan 02 18:01:39 GMT 2025","failed","Thu Jan 02 18:01:39 GMT 2025","customers > {userId} > querypaged > {page} > {pagesize} > {wherecondition}","Transactions","",""
"","145","Invalid KYC status","Admin APIs - QA","Thu Jan 02 18:01:43 GMT 2025","passed","Thu Jan 02 18:01:44 GMT 2025","Manage business > KYB","Businesses","",""
"","134","/api/transactions/customers/:userId/getpaged/:page/:pagesize/:wherecondition","Admin APIs - QA","Thu Jan 02 18:01:39 GMT 2025","failed","Thu Jan 02 18:01:39 GMT 2025","customers > {userId} > getpaged > {page} > {pagesize} > {wherecondition}","Transactions","",""
"Get Auth Token","228","Login - Blank username","Admin APIs - QA","Thu Jan 02 18:01:03 GMT 2025","passed","Thu Jan 02 18:01:04 GMT 2025","","Login","",""
"","148","Decline without a reason","Admin APIs - QA","Thu Jan 02 18:01:43 GMT 2025","passed","Thu Jan 02 18:01:43 GMT 2025","Manage business > KYB","Businesses","",""
"","819","Blacklist identity","Admin APIs - QA","Thu Jan 02 18:02:58 GMT 2025","passed","Thu Jan 02 18:02:59 GMT 2025","Manage customer > Blacklist a customer","Customers","",""
"","145","Business transaction by user ID","Admin APIs - QA","Thu Jan 02 18:01:38 GMT 2025","failed","Thu Jan 02 18:01:38 GMT 2025","businesses > {userId} > dashboard","Transactions","",""
"","410","Blacklist business","Admin APIs - QA","Thu Jan 02 18:01:46 GMT 2025","passed","Thu Jan 02 18:01:46 GMT 2025","Manage business > Blacklist a business","Businesses","",""
"","1196","Activate - Deactivate/Activate blacklisted business","Admin APIs - QA","Thu Jan 02 18:01:44 GMT 2025","passed","Thu Jan 02 18:01:45 GMT 2025","Manage business > Business Status (Active/Deactivated)","Businesses","",""
"","704","Get Rule List","Admin APIs - QA","Thu Jan 02 18:01:05 GMT 2025","passed","Thu Jan 02 18:01:06 GMT 2025","Get Rule List","Referral","",""
"","128","Transaction types","Admin APIs - QA","Thu Jan 02 18:01:40 GMT 2025","failed","Thu Jan 02 18:01:40 GMT 2025","all-transaction-types","Transactions","",""
"","130","Get Referral Configuration-NoAuth","Admin APIs - QA","Thu Jan 02 18:01:07 GMT 2025","passed","Thu Jan 02 18:01:07 GMT 2025","Referral Configuration","Referral","",""
"","29313","Dashboard","Admin APIs - QA","Thu Jan 02 18:01:08 GMT 2025","failed","Thu Jan 02 18:01:37 GMT 2025","dashboard","Transactions","",""
"","805","All transactions","Admin APIs - QA","Thu Jan 02 18:01:37 GMT 2025","failed","Thu Jan 02 18:01:38 GMT 2025","all > {page} > {pagesize} > {wherecondition}","Transactions","",""
"","394","Activate blacklisted Account","Admin APIs - QA","Thu Jan 02 18:02:57 GMT 2025","passed","Thu Jan 02 18:02:58 GMT 2025","Manage customer > Customer Status (Active/Deactivated)","Customers","",""
"","88","/api/transactions/statement2/:username","Admin APIs - QA","Thu Jan 02 18:01:41 GMT 2025","passed","Thu Jan 02 18:01:41 GMT 2025","statement2 > {username}","Transactions","",""
"","141","Get Rule List-No Auth","Admin APIs - QA","Thu Jan 02 18:01:06 GMT 2025","passed","Thu Jan 02 18:01:06 GMT 2025","Get Rule List","Referral","",""
"","266","Deactivate - Activate/Deactivate Referral","Admin APIs - QA","Thu Jan 02 18:01:07 GMT 2025","passed","Thu Jan 02 18:01:07 GMT 2025","Activate/Deactivate Referral","Referral","",""
"","152","Add a Rule","Admin APIs - QA","Thu Jan 02 18:01:07 GMT 2025","passed","Thu Jan 02 18:01:07 GMT 2025","Add Rules","Referral","",""
